start
[27.783, 0.098, 70.912, 0.202, 0.211, 0.635, 0.16]
[67.065, 9.357, 20.823, 0.185, 0.185, 2.201, 0.185]
[67.065, 9.357, 20.823, 0.185, 0.185, 2.201, 0.185]
[82.194, 0.433, 13.221, 0.191, 0.227, 3.06, 0.674]
[72.854, 0.165, 23.076, 0.15, 0.217, 2.212, 1.326]
[72.854, 0.165, 23.076, 0.15, 0.217, 2.212, 1.326]
[72.854, 0.165, 23.076, 0.15, 0.217, 2.212, 1.326]
[72.854, 0.165, 23.076, 0.15, 0.217, 2.212, 1.326]
[88.734, 0.073, 8.146, 0.277, 1.092, 1.268, 0.41]
[88.734, 0.073, 8.146, 0.277, 1.092, 1.268, 0.41]
[95.672, 0.071, 3.128, 0.094, 0.087, 0.59, 0.359]
[95.672, 0.071, 3.128, 0.094, 0.087, 0.59, 0.359]
[95.672, 0.071, 3.128, 0.094, 0.087, 0.59, 0.359]
[92.246, 0.066, 5.267, 0.243, 0.352, 1.008, 0.817]
[86.87, 0.039, 10.098, 0.235, 1.347, 1.067, 0.345]
[86.87, 0.039, 10.098, 0.235, 1.347, 1.067, 0.345]
[86.87, 0.039, 10.098, 0.235, 1.347, 1.067, 0.345]
[86.87, 0.039, 10.098, 0.235, 1.347, 1.067, 0.345]
[80.856, 0.064, 15.07, 0.471, 1.455, 1.394, 0.689]
[81.879, 0.046, 13.78, 0.767, 2.384, 0.972, 0.172]
[81.879, 0.046, 13.78, 0.767, 2.384, 0.972, 0.172]
[81.879, 0.046, 13.78, 0.767, 2.384, 0.972, 0.172]
[81.879, 0.046, 13.78, 0.767, 2.384, 0.972, 0.172]
[80.679, 0.034, 15.68, 0.394, 1.524, 1.366, 0.324]
[85.426, 0.081, 10.812, 0.443, 1.563, 1.362, 0.313]
[85.426, 0.081, 10.812, 0.443, 1.563, 1.362, 0.313]
[85.426, 0.081, 10.812, 0.443, 1.563, 1.362, 0.313]
[75.782, 0.151, 16.643, 0.513, 2.012, 3.75, 1.149]
[79.525, 0.273, 16.737, 0.14, 0.742, 1.765, 0.818]
[79.525, 0.273, 16.737, 0.14, 0.742, 1.765, 0.818]
[79.525, 0.273, 16.737, 0.14, 0.742, 1.765, 0.818]
[0.089, 99.426, 0.221, 0.021, 0.04, 0.182, 0.021]
